time,input_u,output_y,mode_q
2.79,1.10897030321687,9.14907566708462,2
2.8,1.0796886182883,8.82863756230654,2
2.81,1.0505522611955,8.51830026751486,2
2.82,1.02156583290699,8.21798375481481,2
2.83,0.992733910715844,1.41164227434426,2
2.84,0.964061047516791,1.40144962361006,1
2.85,0.935551771087318,1.3912410902095,1
2.86,0.907210583372668,1.38101795186474,1
2.87,0.87904195977492,1.37078151423738,1
2.88,0.851050348446281,1.36053311185222,1
2.89,0.823240169586668,1.35027410905589,1
2.9,0.795615814745712,1.34000590101153,1
2.91,0.768181646129271,1.32972991473053,1
2.92,0.740941995910598,1.31944761014244,1
2.93,0.713901165546234,1.30916048120398,1
2.94,0.687063425096762,1.29887005704834,1
2.95,0.660433012552508,1.28857790317563,1
2.96,0.634014133164327,1.27828562268545,1
2.97,0.60781095877953,1.26799485755248,1
2.98,0.58182762718311,1.25770728994592,1
2.99,0.556068241444331,1.24742464359348,1
3,0.530536869268817,1.23714868519059,1
3.01,0.505237542356203,1.2268812258553,1
3.02,0.480174255763486,1.21662412262929,1
3.03,0.455350967274164,1.20637928002522,1
3.04,0.430771596773249,1.19614865162038,1
3.05,0.406440025628275,1.18593424169651,1
3.06,0.382360096076389,1.17573810692534,1
3.07,0.358535610617609,1.16556235809913,1
3.08,0.334970331414371,1.15540916190515,1
3.09,0.31166797969744,1.14528074274277,1
3.1,0.288632235178278,1.13517938458126,1
3.11,0.265866735467988,1.12510743285608,1
3.12,0.243375075502877,1.11506729640093,1
3.13,0.221160806976787,1.10506144941211,1
3.14,0.199227437780233,1.09509243344123,1
3.15,0.177578431446472,1.08516285941165,1
3.16,0.156217206604565,1.07527540965306,1
3.17,0.135147136439545,1.06543283994795,1
3.18,0.11437154815974,1.05563798158258,1
3.19,0.0938937224713803,1.04589374339432,1
3.2,0.0737168930605265,1.03620311380565,1
3.21,0.0538442460824422,1.02656916283436,1
3.22,0.0342789196584521,1.01699504406779,1
3.23,0.0150240033804121,1.00748399658774,1
3.24,-0.00391746217719113,0.99803934683098,1
3.25,-0.0225424859373682,0.988664510368725,1
3.26,-0.0408481267929597,0.979362993586668,1
3.27,-0.0588314940710686,0.9701383952452,1
3.28,-0.0764897479895317,0.960994407897605,1
3.29,-0.0938201001053547,0.95193481914186,1
3.3,-0.110819813755038,0.942963512679553,1
3.31,-0.127486204486729,0.93408446915323,1
3.32,-0.143816640484131,0.925301766731194,1
3.33,-0.159808542982088,0.916619581406546,1
3.34,-0.175459386673814,0.908042186974915,1
3.35,-0.190766700109659,0.899573954653168,1
3.36,-0.205728066087383,0.891219352299206,1
3.37,-0.220341122033862,0.882982943190942,1
3.38,-0.234603560378159,0.874869384320792,1
3.39,-0.248513128915927,0.866883424160407,1
3.4,-0.262067631165048,0.859029899849215,1
3.41,-0.275264926712489,0.851313733759482,1
3.42,-0.288102931552294,0.843739929390393,1
3.43,-0.300579618414676,0.836313566543868,1
3.44,-0.312693017086145,0.829039795735919,1
3.45,-0.324441214720629,0.821923831799134,1
3.46,-0.335822356141529,0.814970946634584,1
3.47,-0.346834644134685,0.808186461075236,1
3.48,-0.357476339732161,0.801575735827775,1
3.49,-0.367745762486861,0.795144161465793,1
3.5,-0.377641290737884,0.788897147454671,1
3.51,-0.387161361866607,0.782840110197091,1
3.52,-0.39630447254344,0.776978460098194,1
3.53,-0.405069178965215,0.771317587660741,1
3.54,-0.413454097083185,0.765862848633367,1
3.55,-0.421457902821578,0.76061954824894,1
3.56,-0.429079332286685,0.755592924605118,1
3.57,-0.436317181966443,0.750788131255121,1
3.58,-0.443170308920483,0.746210219093465,1
3.59,-0.449637630960617,0.741864117638387,1
3.6,-0.455718126821722,0.73775461582987,1
3.61,-0.461410836323013,0.733886342478852,1
3.62,-0.46671486051967,0.730263746519249,1
3.63,-0.471629361844785,0.726891077229054,1
3.64,-0.476153564241628,0.72377236459979,1
3.65,-0.480286753286194,0.720911400044281,1
3.66,-0.484028276300021,0.718311717640732,1
3.67,-0.48737754245325,0.715976576115972,1
3.68,-0.490334022857931,0.713908941772036,1
3.69,-0.492897250651535,0.712111472557819,1
3.7,-0.495066821070679,0.710586503480977,1
3.71,-0.496842391515044,0.70933603354472,1
3.72,-0.498223681601473,0.708361714379403,1
3.73,-0.49921047320825,0.707664840720344,1
3.74,-0.49980261050954,0.707246342861142,1
3.75,-0.5,0.707106781186548,1
3.76,-0.49980261050954,0.707246342861142,1
3.77,-0.49921047320825,0.707664840720344,1
3.78,-0.498223681601473,0.708361714379403,1
3.79,-0.496842391515044,0.70933603354472,1
3.8,-0.495066821070679,0.710586503480977,1
3.81,-0.492897250651535,0.712111472557819,1
3.82,-0.490334022857931,0.713908941772037,1
3.83,-0.48737754245325,0.715976576115972,1
3.84,-0.484028276300021,0.718311717640732,1
3.85,-0.480286753286195,0.720911400044281,1
3.86,-0.476153564241628,0.72377236459979,1
3.87,-0.471629361844785,0.726891077229054,1
3.88,-0.46671486051967,0.730263746519249,1
3.89,-0.461410836323013,0.733886342478852,1
3.9,-0.455718126821722,0.73775461582987,1
3.91,-0.449637630960617,0.741864117638387,1
3.92,-0.443170308920484,0.746210219093465,1
3.93,-0.436317181966443,0.750788131255121,1
3.94,-0.429079332286685,0.755592924605118,1
3.95,-0.421457902821578,0.760619548248941,1
3.96,-0.413454097083185,0.765862848633366,1
3.97,-0.405069178965214,0.771317587660742,1
3.98,-0.39630447254344,0.776978460098193,1
3.99,-0.387161361866608,0.78284011019709,1
4,-0.377641290737884,0.78889714745467,1
4.01,-0.367745762486861,0.795144161465793,1
4.02,-0.357476339732161,0.801575735827775,1
4.03,-0.346834644134685,0.808186461075237,1
4.04,-0.33582235614153,0.814970946634584,1
4.05,-0.324441214720629,0.821923831799134,1
4.06,-0.312693017086145,0.82903979573592,1
4.07,-0.300579618414675,0.836313566543868,1
4.08,-0.288102931552294,0.843739929390393,1
4.09,-0.275264926712489,0.851313733759482,1
4.1,-0.26206763116505,0.859029899849214,1
4.11,-0.248513128915927,0.866883424160407,1
4.12,-0.234603560378159,0.874869384320791,1
4.13,-0.220341122033862,0.882982943190942,1
4.14,-0.205728066087384,0.891219352299206,1
4.15,-0.190766700109658,0.899573954653169,1
4.16,-0.175459386673814,0.908042186974915,1
4.17,-0.159808542982089,0.916619581406546,1
4.18,-0.143816640484132,0.925301766731194,1
4.19,-0.12748620448673,0.934084469153229,1
4.2,-0.110819813755037,0.942963512679554,1
4.21,-0.0938201001053551,0.95193481914186,1
4.22,-0.0764897479895321,0.960994407897605,1
4.23,-0.0588314940710677,0.9701383952452,1
4.24,-0.0408481267929606,0.979362993586668,1
4.25,-0.0225424859373691,0.988664510368725,1
4.26,-0.00391746217719158,0.99803934683098,1
4.27,0.0150240033804114,1.00748399658774,1
4.28,0.034278919658453,1.01699504406779,1
4.29,0.053844246082442,1.02656916283436,1
4.3,0.0737168930605261,1.03620311380565,1
4.31,0.0938937224713812,1.04589374339432,1
4.32,0.114371548159741,1.05563798158258,1
4.33,0.135147136439544,1.06543283994795,1
4.34,0.156217206604565,1.07527540965306,1
4.35,0.177578431446473,1.08516285941165,1
4.36,0.199227437780233,1.09509243344123,1
4.37,0.221160806976787,1.10506144941211,1
4.38,0.243375075502876,1.11506729640093,1
4.39,0.265866735467986,1.12510743285607,1
4.4,0.288632235178279,1.13517938458126,1
4.41,0.311667979697438,1.14528074274277,1
4.42,0.334970331414371,1.15540916190515,1
4.43,0.358535610617607,1.16556235809913,1
4.44,0.382360096076389,1.17573810692534,1
4.45,0.406440025628276,1.18593424169651,1
4.46,0.430771596773248,1.19614865162038,1
4.47,0.455350967274163,1.20637928002522,1
4.48,0.480174255763487,1.21662412262929,1
4.49,0.505237542356202,1.2268812258553,1
4.5,0.530536869268817,1.23714868519059,1
4.51,0.556068241444331,1.24742464359348,1
4.52,0.581827627183109,1.25770728994592,1
4.53,0.60781095877953,1.26799485755248,1
4.54,0.634014133164328,1.27828562268545,1
4.55,0.660433012552507,1.28857790317563,1
4.56,0.687063425096762,1.29887005704834,1
4.57,0.713901165546235,1.30916048120398,1
4.58,0.740941995910597,1.31944761014244,1
4.59,0.768181646129271,1.32972991473053,1
4.6,0.795615814745714,1.34000590101153,1
4.61,0.823240169586669,1.35027410905589,1
4.62,0.851050348446281,1.36053311185222,1
4.63,0.879041959774918,1.37078151423738,1
4.64,0.907210583372666,1.38101795186473,1
4.65,0.93555177108732,1.3912410902095,1
4.66,0.964061047516789,1.40144962361006,1
4.67,0.992733910715843,1.41164227434426,1
4.68,1.02156583290699,1.4218177917395,1
4.69,1.0505522611955,1.43197495131566,1
4.7,1.07968861828831,1.44211255395975,1
4.71,1.10897030321687,1.45222942513119,1
4.72,1.13839269206371,1.46232441409685,1
4.73,1.16795113869253,1.47239639319462,1
4.74,1.19764097548198,1.48244425712469,1
4.75,1.22745751406263,1.4924669222675,1
4.76,1.25739604605741,1.50246332602743,1
4.77,1.28745184382506,1.51243242620127,1
4.78,1.31762016120669,1.52237320037062,1
4.79,1.34789623427526,1.53228464531733,1
4.8,1.37827528208786,1.5421657764611,1
4.81,1.40875250744069,1.55201562731845,1
4.82,1.43932309762655,1.56183324898228,1
4.83,1.46998222519486,1.57161770962116,1
4.84,1.50072504871398,1.58136809399772,1
4.85,1.53154671353569,1.59108350300532,1
4.86,1.56244235256181,1.60076305322237,1
4.87,1.59340708701279,1.61040587648356,1
4.88,1.62443602719811,1.62001111946743,1
4.89,1.6555242732884,1.62957794329955,1
4.9,1.68666691608924,1.63910552317087,1
4.91,1.7178590378163,1.64859304797039,1
4.92,1.74909571287196,1.65803971993193,1
4.93,1.78037200862314,1.66744475429417,1
4.94,1.81168298618017,1.67680737897356,1
4.95,1.84302370117672,1.68612683424964,1
4.96,1.87438920455057,1.69540237246223,1
4.97,1.90577454332516,1.70463325772002,1
4.98,1.93717476139166,1.71381876562012,1
4.99,1.96858490029162,1.72295818297822,1
5,2,1.73205080756888,1
5.01,2.03141509970838,23.6332365366161,1
5.02,2.06282523860834,24.2762398251978,2
5.03,2.09422545667484,24.9289013169246,2
5.04,2.12561079544942,25.5911062686557,2
5.05,2.15697629882328,26.2627337684269,2
5.06,2.18831701381983,26.9436567648667,2
5.07,2.21962799137686,27.6337421005184,2
5.08,2.25090428712804,28.3328505490569,2
5.09,2.2821409621837,29.0408368563838,2
5.1,2.31333308391076,29.7575497855803,2
5.11,2.3444757267116,30.4828321656993,2
5.12,2.37556397280189,31.2165209443716,2
5.13,2.40659291298721,31.9584472442013,2
5.14,2.43755764743819,32.708436422922,2
5.15,2.46845328646431,33.4663081372822,2
5.16,2.49927495128602,34.2318764106286,2
5.17,2.53001777480514,35.0049497041497,2
5.18,2.56067690237345,35.7853309917445,2
5.19,2.59124749255931,36.5728178384745,2
5.2,2.62172471791214,37.3672024825574,2
5.21,2.65210376572474,38.1682719208568,2
5.22,2.68237983879331,38.9758079978242,2
5.23,2.71254815617494,39.7895874978403,2
5.24,2.74260395394259,40.6093822409075,2
5.25,2.77254248593737,41.4349591816388,2
5.26,2.80235902451802,42.266080511488,2
5.27,2.83204886130746,43.1025037641645,2
5.28,2.86160730793629,43.943981924172,2
5.29,2.89102969678313,44.7902635384097,2
5.3,2.92031138171169,45.6410928307743,2
5.31,2.9494477388045,46.4962098196949,2
5.32,2.97843416709301,47.3553504385351,2
5.33,3.00726608928416,48.2182466587921,2
5.34,3.03593895248321,49.0846266160242,2
5.35,3.06444822891268,49.9542147384303,2
5.36,3.09278941662733,50.8267318780102,2
5.37,3.12095804022508,51.7018954442279,2
5.38,3.14894965155372,52.5794195401014,2
5.39,3.17675983041333,53.4590151006387,2
5.4,3.20438418525429,54.3403900335388,2
5.41,3.23181835387073,55.2232493620785,2
5.42,3.2590580040894,56.107295370096,2
5.43,3.28609883445376,56.9922277489919,2
5.44,3.31293657490324,57.877743746658,2
