Time_s,InductorCurrent_A,CapacitorVoltage_V,SwitchState,Vin_V,L_H,C_F,R_Ohm
6.7e-05,1.60556313695906,0.112300616572633,1,24,0.001,0.00047,10
6.8e-05,1.62945083634249,0.11569281460519,1,24,0.001,0.00047,10
6.9e-05,1.65333514352789,0.11913511578579,1,24,0.001,0.00047,10
7e-05,1.6772160084121,0.122627502236746,1,24,0.001,0.00047,10
7.1e-05,1.70109338090986,0.126169955977572,1,24,0.001,0.00047,10
7.2e-05,1.72496721095389,0.129762458925045,1,24,0.001,0.00047,10
7.3e-05,1.74883744849496,0.133404992893261,1,24,0.001,0.00047,10
7.4e-05,1.77270404350207,0.137097539593698,1,24,0.001,0.00047,10
7.5e-05,1.79656694596247,0.140840080635279,1,24,0.001,0.00047,10
7.6e-05,1.82042610588184,0.144632597524425,1,24,0.001,0.00047,10
7.7e-05,1.84428147328431,0.148475071665126,1,24,0.001,0.00047,10
7.8e-05,1.86813299821265,0.152367484358994,1,24,0.001,0.00047,10
7.9e-05,1.89198063072829,0.156309816805327,1,24,0.001,0.00047,10
8e-05,1.91582432091148,0.160302050101174,1,24,0.001,0.00047,10
8.1e-05,1.93966401886138,0.164344165241389,1,24,0.001,0.00047,10
8.2e-05,1.96349967469614,0.168436143118703,1,24,0.001,0.00047,10
8.3e-05,1.98733123855302,0.172577964523775,1,24,0.001,0.00047,10
8.4e-05,2.0111586605885,0.176769610145266,1,24,0.001,0.00047,10
8.5e-05,2.03498189097835,0.181011060569892,1,24,0.001,0.00047,10
8.6e-05,2.05880087991778,0.18530229628249,1,24,0.001,0.00047,10
8.7e-05,2.0826155776215,0.189643297666085,1,24,0.001,0.00047,10
8.8e-05,2.10642593432384,0.194034045001947,1,24,0.001,0.00047,10
8.9e-05,2.13023190027883,0.198474518469656,1,24,0.001,0.00047,10
9e-05,2.15403342576036,0.202964698147171,1,24,0.001,0.00047,10
9.1e-05,2.17783046106222,0.207504564010885,1,24,0.001,0.00047,10
9.2e-05,2.20162295649821,0.212094095935696,1,24,0.001,0.00047,10
9.3e-05,2.22541086240227,0.216733273695068,1,24,0.001,0.00047,10
9.4e-05,2.24919412912858,0.221422076961095,1,24,0.001,0.00047,10
9.5e-05,2.27297270705161,0.226160485304568,1,24,0.001,0.00047,10
9.6e-05,2.29674654656631,0.230948478195039,1,24,0.001,0.00047,10
9.7e-05,2.32051559808811,0.235786035000883,1,24,0.001,0.00047,10
9.8e-05,2.34427981205311,0.240673134989368,1,24,0.001,0.00047,10
9.9e-05,2.36803913891812,0.245609757326717,1,24,0.001,0.00047,10
0.0001,2.3917935291608,0.250595881078176,1,24,0.001,0.00047,10
0.000101,2.41554293327972,0.255631485208076,1,24,0.001,0.00047,10
0.000102,2.43928730179451,0.260716548579903,1,24,0.001,0.00047,10
0.000103,2.46302658524593,0.265851049956364,1,24,0.001,0.00047,10
0.000104,2.48676073419597,0.27103496799945,1,24,0.001,0.00047,10
0.000105,2.51048969922797,0.276268281270505,1,24,0.001,0.00047,10
0.000106,2.5342134309467,0.281550968230294,1,24,0.001,0.00047,10
0.000107,2.55793187997847,0.286883007239068,1,24,0.001,0.00047,10
0.000108,2.58164499697124,0.292264376556631,1,24,0.001,0.00047,10
0.000109,2.60535273259468,0.297695054342409,1,24,0.001,0.00047,10
0.00011,2.62905503754034,0.303175018655516,1,24,0.001,0.00047,10
0.000111,2.65275186252168,0.308704247454824,1,24,0.001,0.00047,10
0.000112,2.67644315827423,0.314282718599029,1,24,0.001,0.00047,10
0.000113,2.70012887555563,0.319910409846719,1,24,0.001,0.00047,10
0.000114,2.72380896514578,0.325587298856444,1,24,0.001,0.00047,10
0.000115,2.74748337784692,0.331313363186785,1,24,0.001,0.00047,10
0.000116,2.77115206448374,0.337088580296419,1,24,0.001,0.00047,10
0.000117,2.79481497590344,0.342912927544194,1,24,0.001,0.00047,10
0.000118,2.8184720629759,0.348786382189192,1,24,0.001,0.00047,10
0.000119,2.84212327659371,0.354708921390803,1,24,0.001,0.00047,10
0.00012,2.86576856767232,0.360680522208791,1,24,0.001,0.00047,10
0.000121,2.88940788715011,0.366701161603369,1,24,0.001,0.00047,10
0.000122,2.9130411859885,0.372770816435262,1,24,0.001,0.00047,10
0.000123,2.93666841517207,0.378889463465783,1,24,0.001,0.00047,10
0.000124,2.9602895257086,0.385057079356901,1,24,0.001,0.00047,10
0.000125,2.98390446862925,0.391273640671312,1,24,0.001,0.00047,10
0.000126,3.00751319498857,0.397539123872508,1,24,0.001,0.00047,10
0.000127,3.0311156558647,0.403853505324851,1,24,0.001,0.00047,10
0.000128,3.05471180235938,0.410216761293643,1,24,0.001,0.00047,10
0.000129,3.07830158559808,0.416628867945196,1,24,0.001,0.00047,10
0.00013,3.10188495673014,0.423089801346906,1,24,0.001,0.00047,10
0.000131,3.12546186692879,0.429599537467322,1,24,0.001,0.00047,10
0.000132,3.14903226739132,0.43615805217622,1,24,0.001,0.00047,10
0.000133,3.17259610933915,0.442765321244674,1,24,0.001,0.00047,10
0.000134,3.1961533440179,0.449421320345131,1,24,0.001,0.00047,10
0.000135,3.21970392269756,0.456126025051479,1,24,0.001,0.00047,10
0.000136,3.24324779667251,0.462879410839122,1,24,0.001,0.00047,10
0.000137,3.26678491726167,0.469681453085055,1,24,0.001,0.00047,10
0.000138,3.29031523580858,0.476532127067934,1,24,0.001,0.00047,10
0.000139,3.31383870368151,0.483431407968151,1,24,0.001,0.00047,10
0.00014,3.33735527227355,0.490379270867906,1,24,0.001,0.00047,10
0.000141,3.36086489300268,0.497375690751282,1,24,0.001,0.00047,10
0.000142,3.38436751731193,0.504420642504319,1,24,0.001,0.00047,10
0.000143,3.40786309666942,0.511514100915088,1,24,0.001,0.00047,10
0.000144,3.43135158256851,0.518656040673765,1,24,0.001,0.00047,10
0.000145,3.45483292652783,0.525846436372703,1,24,0.001,0.00047,10
0.000146,3.47830708009146,0.533085262506513,1,24,0.001,0.00047,10
0.000147,3.50177399482895,0.540372493472132,1,24,0.001,0.00047,10
0.000148,3.52523362233548,0.547708103568901,1,24,0.001,0.00047,10
0.000149,3.54868591423191,0.555092066998643,1,24,0.001,0.00047,10
0.00015,3.57213082216492,0.562524357865732,1,24,0.001,0.00047,10
0.000151,3.59556829780705,0.570004950177176,1,24,0.001,0.00047,10
0.000152,3.61899829285687,0.577533817842685,1,24,0.001,0.00047,10
0.000153,3.64242075903903,0.585110934674754,1,24,0.001,0.00047,10
0.000154,3.66583564810435,0.592736274388736,1,24,0.001,0.00047,10
0.000155,3.68924291182997,0.600409810602918,1,24,0.001,0.00047,10
0.000156,3.71264250201936,0.608131516838598,1,24,0.001,0.00047,10
0.000157,3.73603437050252,0.615901366520163,1,24,0.001,0.00047,10
0.000158,3.759418469136,0.623719332975164,1,24,0.001,0.00047,10
0.000159,3.78279474980303,0.631585389434395,1,24,0.001,0.00047,10
0.00016,3.80616316441359,0.639499509031969,1,24,0.001,0.00047,10
0.000161,3.82952366490456,0.647461664805395,1,24,0.001,0.00047,10
0.000162,3.85287620323976,0.655471829695659,1,24,0.001,0.00047,10
0.000163,3.87622073141006,0.663529976547298,1,24,0.001,0.00047,10
0.000164,3.89955720143351,0.671636078108479,1,24,0.001,0.00047,10
0.000165,3.92288556535541,0.679790107031081,1,24,0.001,0.00047,10
0.000166,3.94620577524837,0.687992035870766,1,24,0.001,0.00047,10
0.000167,3.9695177832125,0.696241837087067,1,24,0.001,0.00047,10
0.000168,3.99282154137542,0.704539483043458,1,24,0.001,0.00047,10
0.000169,4.01611700189237,0.712884946007439,1,24,0.001,0.00047,10
0.00017,4.03940411694637,0.721278198150613,1,24,0.001,0.00047,10
0.000171,4.06268283874822,0.729719211548764,1,24,0.001,0.00047,10
0.000172,4.08595311953667,0.738207958181942,1,24,0.001,0.00047,10
0.000173,4.10921491157848,0.746744409934534,1,24,0.001,0.00047,10
0.000174,4.13246816716855,0.755328538595354,1,24,0.001,0.00047,10
0.000175,4.15571283862995,0.763960315857713,1,24,0.001,0.00047,10
0.000176,4.1789488783141,0.772639713319509,1,24,0.001,0.00047,10
0.000177,4.20217623860078,0.781366702483301,1,24,0.001,0.00047,10
0.000178,4.22539487189829,0.790141254756391,1,24,0.001,0.00047,10
0.000179,4.24860473064354,0.798963341450908,1,24,0.001,0.00047,10
0.00018,4.27180576730209,0.807832933783883,1,24,0.001,0.00047,10
0.000181,4.2949979343683,0.816750002877338,1,24,0.001,0.00047,10
0.000182,4.31818118436543,0.82571451975836,1,24,0.001,0.00047,10
0.000183,4.34135546984567,0.834726455359189,1,24,0.001,0.00047,10
0.000184,4.36452074339031,0.843785780517295,1,24,0.001,0.00047,10
0.000185,4.38767695760979,0.852892465975462,1,24,0.001,0.00047,10
0.000186,4.41082406514381,0.862046482381871,1,24,0.001,0.00047,10
0.000187,4.43396201866143,0.871247800290181,1,24,0.001,0.00047,10
0.000188,4.45709077086114,0.880496390159612,1,24,0.001,0.00047,10
0.000189,4.48021027447098,0.889792222355027,1,24,0.001,0.00047,10
0.00019,4.50332048224863,0.899135267147017,1,24,0.001,0.00047,10
0.000191,4.52642134698148,0.908525494711983,1,24,0.001,0.00047,10
0.000192,4.54951282148677,0.917962875132218,1,24,0.001,0.00047,10
0.000193,4.57259485861164,0.927447378395991,1,24,0.001,0.00047,10
0.000194,4.59566741123324,0.936978974397634,1,24,0.001,0.00047,10
0.000195,4.61873043225884,0.94655763293762,1,24,0.001,0.00047,10
0.000196,4.6417838746259,0.956183323722652,1,24,0.001,0.00047,10
0.000197,4.66482769130218,0.965856016365745,1,24,0.001,0.00047,10
0.000198,4.68786183528581,0.97557568038631,1,24,0.001,0.00047,10
0.000199,4.71088625960543,0.98534228521024,1,24,0.001,0.00047,10
0.0002,4.73390091732022,0.995155800169994,1,24,0.001,0.00047,10
0.000201,4.75690576152005,1.00501619450468,1,24,0.001,0.00047,10
0.000202,4.77990074532554,1.01492343736015,1,24,0.001,0.00047,10
0.000203,4.80288582188818,1.02487749778906,1,24,0.001,0.00047,10
0.000204,4.82586094439039,1.034878344751,1,24,0.001,0.00047,10
0.000205,4.84882606604564,1.04492594711252,1,24,0.001,0.00047,10
0.000206,4.87178114009853,1.05502027364727,1,24,0.001,0.00047,10
0.000207,4.89472611982488,1.06516129303607,1,24,0.001,0.00047,10
0.000208,4.91766095853185,1.07534897386697,1,24,0.001,0.00047,10
0.000209,4.94058560955798,1.08558328463536,1,24,0.001,0.00047,10
0.00021,4.96350002627335,1.09586419374407,1,24,0.001,0.00047,10
0.000211,4.9864041620796,1.10619166950343,1,24,0.001,0.00047,10
0.000212,5.0092979704101,1.11656568013136,1,24,0.001,0.00047,10
0.000213,5.03218140472997,1.12698619375349,1,24,0.001,0.00047,10
0.000214,5.05505441853621,1.13745317840318,1,24,0.001,0.00047,10
0.000215,5.07791696535781,1.14796660202168,1,24,0.001,0.00047,10
0.000216,5.10076899875579,1.15852643245818,1,24,0.001,0.00047,10
0.000217,5.12361047232333,1.1691326374699,1,24,0.001,0.00047,10
0.000218,5.14644133968586,1.17978518472219,1,24,0.001,0.00047,10
0.000219,5.16926155450114,1.19048404178861,1,24,0.001,0.00047,10
0.00022,5.19207107045935,1.20122917615099,1,24,0.001,0.00047,10
0.000221,5.2148698412832,1.2120205551996,1,24,0.001,0.00047,10
0.000222,5.237657820728,1.22285814623314,1,24,0.001,0.00047,10
0.000223,5.26043496258176,1.23374191645889,1,24,0.001,0.00047,10
0.000224,5.28320122066531,1.2446718329928,1,24,0.001,0.00047,10
0.000225,5.30595654883231,1.25564786285953,1,24,0.001,0.00047,10
0.000226,5.32870090096945,1.26666997299261,1,24,0.001,0.00047,10
0.000227,5.35143423099646,1.27773813023446,1,24,0.001,0.00047,10
0.000228,5.37415649286623,1.28885230133653,1,24,0.001,0.00047,10
0.000229,5.39686764056489,1.30001245295937,1,24,0.001,0.00047,10
0.00023,5.41956762811193,1.31121855167271,1,24,0.001,0.00047,10
0.000231,5.44225640956026,1.32247056395557,1,24,0.001,0.00047,10
0.000232,5.4649339389963,1.33376845619634,1,24,0.001,0.00047,10
0.000233,5.48760017054011,1.34511219469289,1,24,0.001,0.00047,10
0.000234,5.51025505834541,1.35650174565261,1,24,0.001,0.00047,10
0.000235,5.53289855659976,1.36793707519257,1,24,0.001,0.00047,10
0.000236,5.55553061952457,1.37941814933955,1,24,0.001,0.00047,10
0.000237,5.57815120137523,1.39094493403017,1,24,0.001,0.00047,10
0.000238,5.6007602564412,1.40251739511096,1,24,0.001,0.00047,10
0.000239,5.62335773904609,1.41413549833847,1,24,0.001,0.00047,10
0.00024,5.64594360354775,1.42579920937935,1,24,0.001,0.00047,10
0.000241,5.66851780433837,1.43750849381043,1,24,0.001,0.00047,10
0.000242,5.69108029584456,1.44926331711885,1,24,0.001,0.00047,10
0.000243,5.71363103252744,1.46106364470212,1,24,0.001,0.00047,10
0.000244,5.73616996888274,1.47290944186819,1,24,0.001,0.00047,10
0.000245,5.75869705944087,1.48480067383563,1,24,0.001,0.00047,10
0.000246,5.78121225876703,1.49673730573363,1,24,0.001,0.00047,10
0.000247,5.8037155214613,1.50871930260212,1,24,0.001,0.00047,10
0.000248,5.8262068021587,1.52074662939191,1,24,0.001,0.00047,10
0.000249,5.84868605552931,1.53281925096472,1,24,0.001,0.00047,10
0.00025,5.87115323627834,1.5449371320933,1,24,0.001,0.00047,10
0.000251,5.89360829914625,1.55710023746153,1,24,0.001,0.00047,10
0.000252,5.91605119890878,1.56930853166451,1,24,0.001,0.00047,10
0.000253,5.93848189037712,1.58156197920865,1,24,0.001,0.00047,10
0.000254,5.96090032839791,1.59386054451174,1,24,0.001,0.00047,10
0.000255,5.9833064678534,1.60620419190312,1,24,0.001,0.00047,10
0.000256,6.0057002636615,1.61859288562368,1,24,0.001,0.00047,10
0.000257,6.02808167077587,1.63102658982602,1,24,0.001,0.00047,10
0.000258,6.05045064418605,1.64350526857451,1,24,0.001,0.00047,10
0.000259,6.07280713891747,1.65602888584543,1,24,0.001,0.00047,10
0.00026,6.09515111003163,1.66859740552699,1,24,0.001,0.00047,10
0.000261,6.1174825126261,1.68121079141949,1,24,0.001,0.00047,10
0.000262,6.13980130183468,1.69386900723542,1,24,0.001,0.00047,10
0.000263,6.16210743282745,1.70657201659948,1,24,0.001,0.00047,10
0.000264,6.18440086081085,1.71931978304878,1,24,0.001,0.00047,10
0.000265,6.2066815410278,1.73211227003283,1,24,0.001,0.00047,10
0.000266,6.22894942875776,1.74494944091373,1,24,0.001,0.00047,10
0.000267,6.25120447931685,1.75783125896622,1,24,0.001,0.00047,10
0.000268,6.27344664805788,1.77075768737775,1,24,0.001,0.00047,10
0.000269,6.29567589037051,1.78372868924864,1,24,0.001,0.00047,10
0.00027,6.31789216168126,1.79674422759214,1,24,0.001,0.00047,10
0.000271,6.34009541745367,1.80980426533453,1,24,0.001,0.00047,10
0.000272,6.36228561318833,1.82290876531521,1,24,0.001,0.00047,10
0.000273,6.38446270442302,1.83605769028682,1,24,0.001,0.00047,10
0.000274,6.40662664673273,1.84925100291532,1,24,0.001,0.00047,10
0.000275,6.42877739572981,1.86248866578009,1,24,0.001,0.00047,10
0.000276,6.45091490706403,1.87577064137403,1,24,0.001,0.00047,10
0.000277,6.47303913642266,1.88909689210366,1,24,0.001,0.00047,10
0.000278,6.49515003953056,1.90246738028922,1,24,0.001,0.00047,10
0.000279,6.51724757215027,1.91588206816476,1,24,0.001,0.00047,10
0.00028,6.5393316900821,1.92934091787823,1,24,0.001,0.00047,10
0.000281,6.56140234916422,1.94284389149162,1,24,0.001,0.00047,10
0.000282,6.58345950527273,1.95639095098102,1,24,0.001,0.00047,10
0.000283,6.60550311432175,1.96998205823671,1,24,0.001,0.00047,10
0.000284,6.62753313226352,1.9836171750633,1,24,0.001,0.00047,10
0.000285,6.64954951508845,1.9972962631798,1,24,0.001,0.00047,10
0.000286,6.67155221882527,2.01101928421974,1,24,0.001,0.00047,10
0.000287,6.69354119954105,2.02478619973124,1,24,0.001,0.00047,10
0.000288,6.71551641334132,2.03859697117713,1,24,0.001,0.00047,10
0.000289,6.73747781637014,2.05245155993505,1,24,0.001,0.00047,10
0.00029,6.75942536481021,2.06634992729755,1,24,0.001,0.00047,10
0.000291,6.78135901488291,2.08029203447219,1,24,0.001,0.00047,10
0.000292,6.80327872284844,2.09427784258163,1,24,0.001,0.00047,10
0.000293,6.82518444500586,2.10830731266374,1,24,0.001,0.00047,10
0.000294,6.84707613769319,2.12238040567169,1,24,0.001,0.00047,10
0.000295,6.86895375728752,2.13649708247409,1,24,0.001,0.00047,10
0.000296,6.89081726020505,2.15065730385502,1,24,0.001,0.00047,10
0.000297,6.91266660290119,2.16486103051421,1,24,0.001,0.00047,10
0.000298,6.93450174187068,2.17910822306709,1,24,0.001,0.00047,10
0.000299,6.95632263364761,2.19339884204488,1,24,0.001,0.00047,10
0.0003,6.97812923480557,2.20773284789476,1,24,0.001,0.00047,10
0.000301,6.99992150195767,2.2221102009799,1,24,0.001,0.00047,10
0.000302,7.02169939175669,2.2365308615796,1,24,0.001,0.00047,10
0.000303,7.04346286089511,2.25099478988939,1,24,0.001,0.00047,10
0.000304,7.06521186610522,2.2655019460211,1,24,0.001,0.00047,10
0.000305,7.0869463641592,2.28005229000303,1,24,0.001,0.00047,10
0.000306,7.1086663118692,2.29464578177996,1,24,0.001,0.00047,10
0.000307,7.13037166608742,2.30928238121334,1,24,0.001,0.00047,10
0.000308,7.15206238370621,2.32396204808136,1,24,0.001,0.00047,10
0.000309,7.17373842165812,2.33868474207901,1,24,0.001,0.00047,10
0.00031,7.19539973691605,2.35345042281827,1,24,0.001,0.00047,10
0.000311,7.21704628649323,2.36825904982813,1,24,0.001,0.00047,10
0.000312,7.2386780274434,2.38311058255475,1,24,0.001,0.00047,10
0.000313,7.26029491686084,2.39800498036153,1,24,0.001,0.00047,10
0.000314,7.28189691188048,2.41294220252924,1,24,0.001,0.00047,10
0.000315,7.30348396967795,2.42792220825611,1,24,0.001,0.00047,10
0.000316,7.3250560474697,2.44294495665792,1,24,0.001,0.00047,10
0.000317,7.34661310251304,2.45801040676814,1,24,0.001,0.00047,10
0.000318,7.36815509210627,2.47311851753801,1,24,0.001,0.00047,10
0.000319,7.38968197358873,2.48826924783663,1,24,0.001,0.00047,10
0.00032,7.4111937043409,2.50346255645111,1,24,0.001,0.00047,10
0.000321,7.43269024178445,2.51869840208663,1,24,0.001,0.00047,10
0.000322,7.45417154338236,2.53397674336658,1,24,0.001,0.00047,10
0.000323,7.47563756663899,2.54929753883264,1,24,0.001,0.00047,10
0.000324,7.49708826910016,2.56466074694488,1,24,0.001,0.00047,10
0.000325,7.51852360835321,2.58006632608192,1,24,0.001,0.00047,10
0.000326,7.53994354202713,2.59551423454095,1,24,0.001,0.00047,10
0.000327,7.56134802779259,2.61100443053791,1,24,0.001,0.00047,10
0.000328,7.58273702336206,2.62653687220757,1,24,0.001,0.00047,10
0.000329,7.60411048648985,2.64211151760361,1,24,0.001,0.00047,10
0.00033,7.62546837497224,2.65772832469878,1,24,0.001,0.00047,10
0.000331,7.64681064664755,2.67338725138496,1,24,0.001,0.00047,10
0.000332,7.66813725939616,2.68908825547327,1,24,0.001,0.00047,10
0.000333,7.68944817114069,2.70483129469423,1,24,0.001,0.00047,10
0.000334,7.71074333984599,2.72061632669779,1,24,0.001,0.00047,10
0.000335,7.73202272351929,2.73644330905348,1,24,0.001,0.00047,10
0.000336,7.75328628021024,2.75231219925053,1,24,0.001,0.00047,10
0.000337,7.77453396801099,2.76822295469795,1,24,0.001,0.00047,10
0.000338,7.79576574505629,2.78417553272463,1,24,0.001,0.00047,10
0.000339,7.81698156952357,2.80016989057949,1,24,0.001,0.00047,10
0.00034,7.83818139963299,2.81620598543154,1,24,0.001,0.00047,10
0.000341,7.85936519364756,2.83228377437003,1,24,0.001,0.00047,10
0.000342,7.88053290987319,2.84840321440452,1,24,0.001,0.00047,10
0.000343,7.90168450665878,2.86456426246502,1,24,0.001,0.00047,10
0.000344,7.92281994239632,2.88076687540206,1,24,0.001,0.00047,10
0.000345,7.94393917552092,2.89701100998687,1,24,0.001,0.00047,10
0.000346,7.96504216451093,2.91329662291138,1,24,0.001,0.00047,10
0.000347,7.98612886788802,2.92962367078844,1,24,0.001,0.00047,10
0.000348,8.00719924421723,2.94599211015187,1,24,0.001,0.00047,10
0.000349,8.02825325210708,2.96240189745655,1,24,0.001,0.00047,10
0.00035,8.04929085020962,2.9788529890786,1,24,0.001,0.00047,10
0.000351,8.07031199722054,2.99534534131541,1,24,0.001,0.00047,10
0.000352,8.09131665187923,3.01187891038581,1,24,0.001,0.00047,10
0.000353,8.11230477296884,3.02845365243015,1,24,0.001,0.00047,10
0.000354,8.13327631931641,3.04506952351042,1,24,0.001,0.00047,10
0.000355,8.1542312497929,3.06172647961035,1,24,0.001,0.00047,10
0.000356,8.17516952331329,3.07842447663552,1,24,0.001,0.00047,10
0.000357,8.19609109883665,3.0951634704135,1,24,0.001,0.00047,10
0.000358,8.21699593536624,3.11194341669392,1,24,0.001,0.00047,10
0.000359,8.23788399194955,3.12876427114859,1,24,0.001,0.00047,10
0.00036,8.2587552276784,3.14562598937164,1,24,0.001,0.00047,10
0.000361,8.27960960168903,3.1625285268796,1,24,0.001,0.00047,10
0.000362,8.30044707316215,3.17947183911152,1,24,0.001,0.00047,10
0.000363,8.32126760132303,3.19645588142908,1,24,0.001,0.00047,10
0.000364,8.34207114544161,3.21348060911669,1,24,0.001,0.00047,10
0.000365,8.36285766483249,3.23054597738165,1,24,0.001,0.00047,10
0.000366,8.38362711885511,3.24765194135419,1,24,0.001,0.00047,10
0.000367,8.40437946691375,3.26479845608764,1,24,0.001,0.00047,10
0.000368,8.42511466845767,3.2819854765585,1,24,0.001,0.00047,10
0.000369,8.44583268298111,3.29921295766659,1,24,0.001,0.00047,10
0.00037,8.46653347002344,3.31648085423513,1,24,0.001,0.00047,10
0.000371,8.48721698916921,3.33378912101087,1,24,0.001,0.00047,10
0.000372,8.50788320004819,3.35113771266421,1,24,0.001,0.00047,10
0.000373,8.52853206233553,3.36852658378928,1,24,0.001,0.00047,10
0.000374,8.54916353575174,3.38595568890408,1,24,0.001,0.00047,10
0.000375,8.56977758006284,3.40342498245059,1,24,0.001,0.00047,10
0.000376,8.59037415508039,3.42093441879489,1,24,0.001,0.00047,10
0.000377,8.61095322066159,3.43848395222723,1,24,0.001,0.00047,10
0.000378,8.63151473670936,3.4560735369622,1,24,0.001,0.00047,10
0.000379,8.6520586631724,3.47370312713883,1,24,0.001,0.00047,10
